Concept,Coverage,Number of cognate sets
ABANDON,0.64,4
AGOUTI,0.57,2
ALL,0.57,3
ALLIGATOR,0.5,1
ALREADY,0.5,2
ANGRY,0.5,2
ANNATTO,0.64,1
ANTEATER,0.57,3
ARAPUA BEE,0.5,1
ARM,1.0,2
ARMADILLO,0.64,4
ARMPIT,0.64,4
ARRIVE,0.64,2
ARROW,0.64,4
ASK,0.5,3
AXE,0.71,3
BAD,0.71,4
BASE,0.5,1
BASKET,0.79,4
BAT,0.64,1
BE BORN,0.5,1
BE HANGING,0.5,1
BE LYING DOWN (SINGULAR),0.5,1
BE SEATED (SINGULAR),0.5,1
BE SITTING (PLURAL),0.5,1
BEAN,0.5,1
BEARD,0.5,2
BEAT,0.79,4
BELLY,0.64,2
BIG BIRD,0.57,2
BITE,0.93,2
BITTER,0.64,2
BLACK,0.86,3
BLADDER,0.5,3
BLOOD,0.79,2
BLOW,0.79,5
BONE,0.79,2
BREAK (SINGULAR),0.5,1
BREAST,0.64,3
BROTHER,0.64,2
BROTHER-IN-LAW,0.5,3
BURN,0.86,1
BURST,0.64,2
BUTTERFLY,0.5,1
CAATINGA,0.57,1
CALL,0.5,1
CAPYBARA,0.79,1
CARE,0.5,1
CASHEW,0.57,2
CASING,0.5,1
CASSAVA,0.5,1
CAVY,0.5,1
CENTRE,0.5,1
CHEEK,0.5,3
CHEST,0.57,6
CHEW,0.57,2
CHILD,0.86,2
CICADA,0.57,2
CLAW,0.64,1
CLAY,0.5,3
CLOSE,0.5,4
CLUB,0.5,2
COB,0.5,1
COLD,0.79,3
CONTAINER,0.71,2
COTTON,0.57,2
COUGH,0.64,2
COVER,0.5,1
CUT OFF (SINGULAR),0.5,1
DANCE,0.93,6
DARKNESS,0.5,3
DEER,0.79,3
DESCEND,0.5,3
DEW,0.5,1
DIE,0.93,2
DIG,0.57,1
DO,0.57,2
DREAM,0.71,5
DRILL,0.57,2
DRINK,0.5,1
DRY,0.71,2
DUMP,0.5,1
DUST,0.64,3
EARTH,0.57,2
EAT (PLURAL),0.64,3
EGG,0.79,1
EMBER,0.5,1
EMPTY,0.5,1
ENTER (SINGULAR),0.5,1
EYE,0.93,2
FALCON,0.5,1
FARM,0.5,1
FART,0.64,1
FAT,1.0,4
FATHER,0.71,3
FATHER-IN-LAW,0.5,2
FEAR,0.71,1
FECES,0.5,2
FEW,0.5,2
FINISH,0.5,3
FIRE,0.86,5
FIREWOOD,0.64,1
FISH,0.71,2
FLAT,0.5,1
FLOWER,0.79,3
FLY,0.79,2
FOOD,0.57,2
FOOT,1.0,1
GENIPAP (FRUIT),0.5,1
GIVE,0.79,5
GO (PLURAL),0.71,1
GO (SINGULAR),0.71,1
GO OUT,0.71,3
GOOD,0.86,2
GRASS,0.64,2
GUARIBA (HOWLER MONKEY),0.5,1
HAIR,0.79,3
HAND,0.93,2
HANG (SINGULAR),0.5,1
HAPPY,0.5,1
HAVE A BATH,0.5,2
HAVE FUN,0.5,1
HEAD,1.0,1
HEAVY,0.5,2
HIDE,0.64,3
HOLE,0.93,2
HOME,0.5,1
HONEY,0.64,2
HONEY EATER (TAYRA),0.5,1
HORN,0.5,4
HORSEFLY,0.5,1
HOUSE,0.71,1
HUMMINGBIRD,0.5,1
HUNGER,0.79,1
HUNT,0.5,3
HUNTING,0.5,1
HUSBAND,0.79,5
IMAGE,0.57,1
INSERT,0.64,3
INSERT (SINGULAR),0.5,1
ITCH,0.5,1
JOINT,0.5,2
KILL (PLURAL),0.5,3
KILL (SINGULAR),0.5,1
KNEE,0.93,4
KNIFE,0.5,1
LEAF,0.57,2
LEFT,0.64,6
LEG,0.71,1
LIE,0.5,1
LIKE,0.5,1
LIP,0.64,3
LIQUID,0.86,4
LISTEN,0.64,2
LIVE,0.5,1
LIVER,1.0,1
LIZARD,0.5,2
LOAD,0.57,1
LOOK,0.86,3
MACAW,0.5,2
MATURE,0.5,4
MEAT,1.0,1
MEN'S HOUSE,0.5,2
METAL,0.5,2
MONKEY,0.5,1
MOON,0.71,5
MORICHE PALM (MAURITIA FLEXUOSA),0.5,2
MOTHER,0.93,3
MOUSE,0.5,1
MOUTH,1.0,6
MOVE UP,0.5,1
MUD,0.5,3
NAME,0.86,2
NAME OF PLACE,0.5,1
NECK,0.93,2
NEW,0.86,2
NIGHT,0.57,2
NON-INDIGENOUS,0.57,2
NOSE,0.71,3
