ID,DOCULECT,CONCEPT,FORM,MANUAL,AUTOMATED
806,Xavánte,ABANDON,ɾ ẽ ɾ ẽ m ẽ,2,18
900,Xerénte,ABANDON,ɾ ẽ ɾ m ẽ,2,18
1193,Panará,ABANDON,s w ə̃ ŋ k a,3,16
3785,Mẽbêngôkre,ABANDON,ñ i + r e,4,17
3787,Apinayé,ABANDON,r e,2,15
3789,Parkatêjê,ABANDON,r e n,2,15
3790,Canela-Krahô,ABANDON,r e,2,15
6097,Kĩsêdjê,ABANDON,k a ŋ/g a,5,16
6101,Gavião-Pyhcopji,ABANDON,k aː k aː,5,16
5546,Mẽbêngôkre,AGOUTI,k u k ɛ ɲ + ɾ ɛ,33,33
5547,Apinayé,AGOUTI,k u k ɛ ɲ,33,33
5548,Kĩsêdjê,AGOUTI,k u kʰ ɛ n,33,33
5549,Tapayúna,AGOUTI,k u kʰ ɛ j,33,33
5550,Parkatêjê,AGOUTI,k u k ɛ n + ɾ ɛ,33,33
5551,Canela-Krahô,AGOUTI,k u kʰ ɛ n,33,33
5552,Gavião-Pyhcopji,AGOUTI,k ɔ̤ kʰ i n,33,33
6789,Arikapú,AGOUTI,t ə ɾ i,34,34
586,Panará,ALL,t ə̃,23459,40
3531,Mẽbêngôkre,ALL,k u n i,39,39
3532,Kĩsêdjê,ALL,k u n ĩ,39,39
3533,Tapayúna,ALL,k u n ĩ,39,39
3534,Parkatêjê,ALL,k u n ĩ n,39,39
3535,Canela-Krahô,ALL,k u n ẽ a,39,39
3536,Gavião-Pyhcopji,ALL,k o̤ n ẽ̤,39,39
4160,Apinayé,ALL,v ə̂ r,38,38
2202,Mẽbêngôkre,ALLIGATOR,m ĩ,41,41
2203,Apinayé,ALLIGATOR,m ĩ + t i,41,41
2204,Kĩsêdjê,ALLIGATOR,m ĩ + c i,41,41
2205,Tapayúna,ALLIGATOR,w̃ ĩ,41,41
2206,Parkatêjê,ALLIGATOR,m ĩ + r e,41,41
2208,Canela-Krahô,ALLIGATOR,m ĩ,41,41
2209,Gavião-Pyhcopji,ALLIGATOR,m ẽ̤,41,41
3632,Mẽbêngôkre,ALREADY,a r ə̂ m,42,42
3633,Apinayé,ALREADY,r a,42,42
